include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,139.857,0.094442256,52.898056,inf,34.982208013534546,245.08976483345032
True,True,2,1,1,True,False,139.50409,0.09398562,52.64229,inf,34.87118220329285,240.00476789474487
True,True,2,1,1,False,True,135.59335,0.09354927,52.397884,inf,34.945887088775635,251.17980003356934
True,True,2,1,1,False,False,137.38298,0.09397053,52.63384,inf,35.372955083847046,255.94010710716248
True,True,2,1,2,True,True,140.792,0.095139384,53.288525,inf,40.034602880477905,251.95298600196838
True,True,2,1,2,True,False,135.74632,0.09336426,52.294262,inf,38.92657709121704,250.78032612800598
True,True,2,1,2,False,True,137.55305,0.09358994,52.420662,inf,37.08752369880676,248.8966326713562
True,True,2,1,2,False,False,135.25931,0.09342525,52.328423,inf,34.87263202667236,244.98595595359802
True,True,2,1,6,True,True,139.14682,0.0949055,53.157524,inf,35.58800411224365,262.7377369403839
True,True,2,1,6,True,False,141.89609,0.09531763,53.38836,inf,38.223644971847534,252.7983238697052
True,True,2,1,6,False,True,140.1501,0.0944658,52.91124,inf,34.833690881729126,254.43508291244507
True,True,2,1,6,False,False,136.86029,0.09376572,52.519123,inf,34.4459969997406,245.36862421035767
True,True,2,1,12,True,True,139.824,0.09437791,52.862015,inf,35.57417702674866,284.6600441932678
True,True,2,1,12,True,False,135.26958,0.093185335,52.194042,inf,36.05343198776245,280.65119099617004
True,True,2,1,12,False,True,135.99419,0.09239675,51.75235,inf,35.385905265808105,290.2706949710846
True,True,2,1,12,False,False,132.41928,0.09213573,51.606144,inf,35.090566873550415,278.84394097328186
True,True,2,1,24,True,True,134.18097,0.09318832,52.195717,inf,37.462979793548584,2225.2527108192444
True,True,2,1,24,True,False,135.20381,0.093527526,52.385704,inf,39.7976450920105,1237.017951965332
True,True,2,1,24,False,True,130.80382,0.091417685,51.203964,inf,40.21666717529297,369.7401511669159
True,True,2,1,24,False,False,138.33653,0.09317961,52.190838,inf,47.74366331100464,406.46332120895386
False,True,2,1,1,True,True,147.13062,0.10666502,59.74415,inf,51.26630926132202,276.9039840698242
False,True,2,1,1,True,False,138.1439,0.10389661,58.19353,inf,49.94633340835571,263.2837800979614
False,True,2,1,1,False,True,145.0536,0.105512574,59.09865,inf,49.25740313529968,272.8585772514343
False,True,2,1,1,False,False,139.6219,0.10379444,58.13631,inf,50.542805910110474,264.8058021068573
False,True,2,1,2,True,True,141.87007,0.10491128,58.761864,inf,48.276297092437744,265.87449407577515
False,True,2,1,2,True,False,139.7324,0.10491242,58.7625,inf,48.618030309677124,264.9393012523651
False,True,2,1,2,False,True,145.31807,0.105373666,59.02085,inf,47.71682620048523,270.1301472187042
False,True,2,1,2,False,False,140.22064,0.10441156,58.48196,inf,48.21540307998657,262.08564829826355
False,True,2,1,6,True,True,148.43764,0.10628118,59.529156,inf,48.435137033462524,287.47806787490845
False,True,2,1,6,True,False,145.21922,0.10581608,59.26865,inf,48.5395929813385,282.55687499046326
False,True,2,1,6,False,True,143.06746,0.10364995,58.055378,inf,1042.5789408683777,1247.9679851531982
False,True,2,1,6,False,False,142.8236,0.10421658,58.372753,inf,42.72569990158081,259.4273819923401
False,True,2,1,12,True,True,151.44377,0.10567289,59.188446,inf,47.36712408065796,298.80358600616455
False,True,2,1,12,True,False,154.48236,0.10679229,59.815434,inf,47.95095610618591,293.3816418647766
False,True,2,1,12,False,True,143.00989,0.10274072,57.54611,inf,47.95973300933838,328.43705010414124
False,True,2,1,12,False,False,142.12758,0.10199906,57.1307,inf,51.52588510513306,340.44536304473877
False,True,2,1,24,True,True,143.91235,0.1021991,57.24274,inf,55.30247712135315,435.1217460632324
False,True,2,1,24,True,False,148.09067,0.10334471,57.884407,inf,54.66940498352051,435.46413111686707
False,True,2,1,24,False,True,144.74307,0.10167635,56.949947,inf,57.45503211021423,438.42606592178345
False,True,2,1,24,False,False,143.07162,0.101011515,56.57756,inf,54.1498441696167,422.36218309402466
