include_covariates,include_motif_information,k_motifs,no_points_after_motif,RMSE,WAPE,MAE,MAPE
True,0,1,1,5.190582,0.04798727,2.7961516,0.06843819
False,0,1,1,5.6098986,0.05121678,2.984331,0.07418814
