include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,7,1,24,False,True,131.38458,0.09062699,50.761086,inf,48.886993646621704,395.8211946487427
True,True,7,1,24,False,False,131.05869,0.089696676,50.24001,inf,42.68438482284546,330.233726978302
True,True,9,1,24,False,True,129.28778,0.08969688,50.24012,inf,46.77738332748413,339.95216727256775
True,True,9,1,24,False,False,134.22038,0.08982373,50.311172,inf,43.23991322517395,360.1748378276825
True,True,11,1,24,False,True,128.47197,0.09004781,50.43668,inf,46.37434792518616,378.81477189064026
True,True,11,1,24,False,False,134.32567,0.090836555,50.878464,inf,44.46525430679321,370.5746715068817
