include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,5.1913996,0.047983956,2.7959585,0.068341196,41.498581886291504,161.66892194747925
True,True,2,1,1,True,False,5.193112,0.04802336,2.7982545,0.0685058,43.00295305252075,173.67214703559875
True,True,2,1,1,False,True,5.1824756,0.04791939,2.7921963,0.06823385,42.62078905105591,168.50846695899963
True,True,2,1,1,False,False,5.18456,0.047943406,2.7935958,0.06837658,41.95285701751709,165.86544013023376
True,True,2,1,2,True,True,5.188142,0.04797827,2.7956274,0.06836022,41.85097289085388,171.38276886940002
True,True,2,1,2,True,False,5.195198,0.048032854,2.7988079,0.06845134,41.74535918235779,168.21812510490417
True,True,2,1,2,False,True,5.173515,0.047813598,2.786032,0.068047024,44.320188999176025,178.89759588241577
True,True,2,1,2,False,False,5.185985,0.04792018,2.7922423,0.06827259,43.63829207420349,171.24360299110413
True,True,2,1,3,True,True,5.1860914,0.04793205,2.7929342,0.068234056,43.38504910469055,179.49466705322266
True,True,2,1,3,True,False,5.188977,0.04797255,2.7952938,0.06834128,49.215577125549316,186.6051208972931
True,True,2,1,3,False,True,5.169845,0.047758766,2.782837,0.06795202,43.16986274719238,170.51783871650696
True,True,2,1,3,False,False,5.181379,0.047938988,2.7933383,0.06825543,44.664827823638916,177.56991004943848
True,True,2,1,5,True,True,5.1842227,0.0479161,2.7920046,0.06824963,45.25611114501953,187.95737218856812
True,True,2,1,5,True,False,5.190285,0.047988117,2.796201,0.06841221,45.33676099777222,190.26173996925354
True,True,2,1,5,False,True,5.165941,0.047761325,2.782986,0.067922875,45.8841507434845,182.84590482711792
True,True,2,1,5,False,False,5.1782436,0.047886234,2.7902644,0.068189375,43.64670705795288,179.8944272994995
True,True,2,1,9,True,True,5.186797,0.047954094,2.7942185,0.06830482,45.23581385612488,209.45854997634888
True,True,2,1,9,True,False,5.186991,0.047912147,2.7917743,0.06825918,43.47152066230774,202.03618693351746
True,True,2,1,9,False,True,5.165272,0.047779266,2.7840314,0.0679345,46.09028482437134,202.89213180541992
True,True,2,1,9,False,False,5.1775303,0.047847137,2.7879863,0.0680284,43.91073203086853,201.7615671157837
False,True,2,1,1,True,True,5.604573,0.051231988,2.9852169,0.07397729,44.51806092262268,158.59922099113464
False,True,2,1,1,True,False,5.6102047,0.05120971,2.983919,0.07417496,45.06148982048035,156.7636330127716
False,True,2,1,1,False,True,5.5924897,0.051080897,2.976413,0.07372108,43.17012882232666,154.69157099723816
False,True,2,1,1,False,False,5.6011214,0.051129118,2.9792225,0.074018724,43.27216601371765,155.01600289344788
False,True,2,1,2,True,True,5.604028,0.051212568,2.9840853,0.073939085,44.47926688194275,159.22777485847473
False,True,2,1,2,True,False,5.61018,0.05121159,2.9840283,0.07417231,44.76566934585571,161.5006022453308
False,True,2,1,2,False,True,5.5849395,0.05098809,2.9710052,0.073568,44.971925020217896,166.66391324996948
False,True,2,1,2,False,False,5.59727,0.05109857,2.9774427,0.073960036,46.26033020019531,160.3323619365692
False,True,2,1,3,True,True,5.6040506,0.051214356,2.9841893,0.073946685,46.60354995727539,195.87946009635925
False,True,2,1,3,True,False,5.611537,0.051220015,2.9845192,0.074184366,49.28512907028198,166.01866388320923
False,True,2,1,3,False,True,5.5779924,0.05092999,2.96762,0.07346759,48.75308704376221,185.96600604057312
False,True,2,1,3,False,False,5.5945916,0.05108045,2.976387,0.073907845,49.445640087127686,170.0032479763031
False,True,2,1,5,True,True,5.6021295,0.051187903,2.982648,0.07391475,52.884159088134766,182.39166283607483
False,True,2,1,5,True,False,5.610977,0.05122217,2.984645,0.074199505,45.613895893096924,173.51106595993042
False,True,2,1,5,False,True,5.572575,0.05086648,2.9639192,0.0733386,49.300946950912476,170.80845499038696
False,True,2,1,5,False,False,5.592043,0.051068455,2.975688,0.07387064,41.96892595291138,167.2254490852356
False,True,2,1,9,True,True,5.5979424,0.051155254,2.9807456,0.073869064,44.94096899032593,173.87480401992798
False,True,2,1,9,True,False,5.607232,0.051178034,2.9820728,0.074120186,44.45199990272522,170.69455790519714
False,True,2,1,9,False,True,5.567363,0.05084868,2.962882,0.073293485,45.69678997993469,173.82742190361023
False,True,2,1,9,False,False,5.587582,0.051038403,2.973937,0.07380846,42.174493074417114,166.26506805419922
