include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,1,True,True,0.019591821,0.015738314,0.01176406,0.0474117,0.7550270557403564,6.331795930862427
True,True,1,1,1,True,False,0.01950821,0.015675945,0.01171744,0.047330268,0.7624809741973877,6.617736101150513
True,True,1,1,1,False,True,0.019192632,0.015595352,0.011657198,0.0477441,1.6398298740386963,8.515038013458252
True,True,1,1,1,False,False,0.019097317,0.015538119,0.011614418,0.047630884,0.8268530368804932,6.434335231781006
True,True,1,1,2,True,True,0.019586306,0.015783185,0.0117975995,0.04739415,0.8726322650909424,6.519866228103638
True,True,1,1,2,True,False,0.019600686,0.015738225,0.011763993,0.047399048,0.8279721736907959,6.728675127029419
True,True,1,1,2,False,True,0.018781135,0.015375028,0.011492511,0.047627475,0.8157057762145996,6.512001037597656
True,True,1,1,2,False,False,0.018759102,0.015317169,0.0114492625,0.047622487,0.7139499187469482,6.318102121353149
True,True,1,1,6,True,True,0.01957935,0.0157275,0.011755975,0.047222327,0.7900381088256836,6.901762008666992
True,True,1,1,6,True,False,0.019536244,0.015705857,0.011739799,0.04724042,0.7752761840820312,6.874053239822388
True,True,1,1,6,False,True,0.018385787,0.015120626,0.011302351,0.047592603,0.7836430072784424,6.7446959018707275
True,True,1,1,6,False,False,0.01838401,0.015107614,0.011292624,0.047368117,0.7959020137786865,6.679663896560669
True,True,1,1,12,True,True,0.019548774,0.015790176,0.011802824,0.047605176,0.7853269577026367,7.284306049346924
True,True,1,1,12,True,False,0.019560691,0.015730312,0.011758079,0.0474755,0.7531678676605225,7.211800813674927
True,True,1,1,12,False,True,0.018693028,0.015380876,0.011496882,0.047899194,0.9489812850952148,7.505165100097656
True,True,1,1,12,False,False,0.018639335,0.015286768,0.011426538,0.047805022,0.836784839630127,7.129532814025879
True,True,1,1,24,True,True,0.019599343,0.015719742,0.0117501775,0.04710902,0.8551638126373291,8.260662078857422
True,True,1,1,24,True,False,0.019556351,0.015717488,0.011748492,0.04706976,0.7677621841430664,8.168576955795288
True,True,1,1,24,False,True,0.018968849,0.015418909,0.011525311,0.047881648,0.8232040405273438,8.51516604423523
True,True,1,1,24,False,False,0.01897142,0.015415981,0.011523122,0.04771572,0.7967343330383301,8.296056032180786
False,True,1,1,1,True,True,0.019616101,0.015719442,0.011749953,0.047189422,0.769028902053833,6.605783700942993
False,True,1,1,1,True,False,0.019588655,0.01572581,0.011754713,0.04756757,0.8689029216766357,6.272392988204956
False,True,1,1,1,False,True,0.019196142,0.0155735025,0.011640866,0.04763245,1.3638782501220703,6.861653089523315
False,True,1,1,1,False,False,0.019149562,0.01556237,0.011632545,0.047538333,0.7975900173187256,6.6040709018707275
False,True,1,1,2,True,True,0.019608365,0.015688423,0.011726767,0.047219645,0.774742841720581,6.228433847427368
False,True,1,1,2,True,False,0.019612052,0.015709024,0.011742166,0.047176685,0.7544219493865967,6.103999376296997
False,True,1,1,2,False,True,0.018735727,0.015268814,0.011413118,0.047238544,0.7496860027313232,6.358256101608276
False,True,1,1,2,False,False,0.018741101,0.015269222,0.011413423,0.047242932,0.7331111431121826,6.191900968551636
False,True,1,1,6,True,True,0.019634023,0.015727181,0.011755738,0.047363024,0.7719669342041016,6.562588930130005
False,True,1,1,6,True,False,0.019540723,0.015653584,0.011700725,0.04719539,0.8277850151062012,6.599095106124878
False,True,1,1,6,False,True,0.018404307,0.015116322,0.011299133,0.04733738,0.802483320236206,6.798131227493286
False,True,1,1,6,False,False,0.0183312,0.015043507,0.011244706,0.04687442,0.7785069942474365,7.010066747665405
False,True,1,1,12,True,True,0.019664414,0.015810968,0.011818367,0.047300447,0.8131678104400635,7.576710939407349
False,True,1,1,12,True,False,0.019607285,0.015710244,0.011743078,0.0473508,0.8504548072814941,8.69960880279541
False,True,1,1,12,False,True,0.01872785,0.0153969,0.01150886,0.047578182,0.8189539909362793,7.153419017791748
False,True,1,1,12,False,False,0.018713832,0.015302197,0.011438071,0.047402,0.7697877883911133,7.006757974624634
False,True,1,1,24,True,True,0.019595243,0.015723072,0.011752667,0.047165286,0.9836931228637695,8.399196863174438
False,True,1,1,24,True,False,0.019623546,0.0157268,0.0117554525,0.0471812,0.8821916580200195,8.409975051879883
False,True,1,1,24,False,True,0.01898832,0.01543621,0.011538243,0.047514606,0.8645780086517334,8.222692728042603
False,True,1,1,24,False,False,0.01890753,0.015359333,0.011480778,0.047583006,1.0546231269836426,8.372226238250732
