include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,1,True,True,5.1913996,0.047983956,2.7959585,0.068341196,46.57607984542847,195.69697785377502
True,True,2,1,1,True,False,5.193112,0.04802336,2.7982545,0.0685058,44.77479910850525,183.81745409965515
True,True,2,1,1,False,True,5.1824756,0.04791939,2.7921963,0.06823385,46.7167489528656,182.76704597473145
True,True,2,1,1,False,False,5.18456,0.047943406,2.7935958,0.06837658,44.41897392272949,198.05132269859314
True,True,2,1,2,True,True,5.188142,0.04797827,2.7956274,0.06836022,49.90447402000427,194.94915294647217
True,True,2,1,2,True,False,5.195198,0.048032854,2.7988079,0.06845134,46.98324704170227,175.17530488967896
True,True,2,1,2,False,True,5.173515,0.047813598,2.786032,0.068047024,43.06489324569702,179.43234419822693
True,True,2,1,2,False,False,5.185985,0.04792018,2.7922423,0.06827259,44.17534804344177,172.4606909751892
True,True,2,1,3,True,True,5.1860914,0.04793205,2.7929342,0.068234056,43.15278697013855,175.6480917930603
True,True,2,1,3,True,False,5.188977,0.04797255,2.7952938,0.06834128,44.138041257858276,180.8731391429901
True,True,2,1,3,False,True,5.169845,0.047758766,2.782837,0.06795202,44.51316714286804,177.84639406204224
True,True,2,1,3,False,False,5.181379,0.047938988,2.7933383,0.06825543,44.508294105529785,179.54840326309204
True,True,2,1,5,True,True,5.1842227,0.0479161,2.7920046,0.06824963,44.63600730895996,183.623033285141
True,True,2,1,5,True,False,5.190285,0.047988117,2.796201,0.06841221,43.75790619850159,193.02224111557007
True,True,2,1,5,False,True,5.165941,0.047761325,2.782986,0.067922875,44.26020002365112,195.70792698860168
True,True,2,1,5,False,False,5.1782436,0.047886234,2.7902644,0.068189375,45.11670112609863,192.52077889442444
True,True,2,1,9,True,True,5.1864085,0.04795266,2.7941349,0.06829949,44.14710187911987,244.32609701156616
True,True,2,1,9,True,False,5.1874204,0.047915943,2.7919955,0.068263926,44.094300746917725,201.32903599739075
True,True,2,1,9,False,True,5.165272,0.047779266,2.7840314,0.0679345,44.0575647354126,198.31413292884827
True,True,2,1,9,False,False,5.1775303,0.047847137,2.7879863,0.0680284,43.04391813278198,188.13491415977478
False,True,2,1,1,True,True,5.604573,0.051231988,2.9852169,0.07397729,43.049938917160034,154.69054007530212
False,True,2,1,1,True,False,5.6102047,0.05120971,2.983919,0.07417496,45.645135164260864,158.5304880142212
False,True,2,1,1,False,True,5.5924897,0.051080897,2.976413,0.07372108,44.93464183807373,168.39433908462524
False,True,2,1,1,False,False,5.6011214,0.051129118,2.9792225,0.074018724,68.1998393535614,195.17705607414246
False,True,2,1,2,True,True,5.604028,0.051212568,2.9840853,0.073939085,50.47112584114075,166.82183694839478
False,True,2,1,2,True,False,5.61018,0.05121159,2.9840283,0.07417231,43.30391716957092,192.4449601173401
False,True,2,1,2,False,True,5.5849395,0.05098809,2.9710052,0.073568,45.89507985115051,170.55830311775208
False,True,2,1,2,False,False,5.59727,0.05109857,2.9774427,0.073960036,46.74516797065735,160.74837398529053
False,True,2,1,3,True,True,5.6040506,0.051214356,2.9841893,0.073946685,44.708351135253906,190.4893729686737
False,True,2,1,3,True,False,5.611537,0.051220015,2.9845192,0.074184366,46.29624390602112,179.80267190933228
False,True,2,1,3,False,True,5.5779924,0.05092999,2.96762,0.07346759,49.86008405685425,175.73622131347656
False,True,2,1,3,False,False,5.5945916,0.05108045,2.976387,0.073907845,43.342681884765625,156.6365578174591
False,True,2,1,5,True,True,5.6021295,0.051187903,2.982648,0.07391475,43.60820388793945,173.1328740119934
False,True,2,1,5,True,False,5.610977,0.05122217,2.984645,0.074199505,43.909173011779785,164.34960222244263
False,True,2,1,5,False,True,5.572575,0.05086648,2.9639192,0.0733386,42.808979988098145,166.0571870803833
False,True,2,1,5,False,False,5.592043,0.051068455,2.975688,0.07387064,44.32697606086731,164.12816500663757
False,True,2,1,9,True,True,5.5979233,0.051153883,2.9806657,0.07386682,46.93153476715088,177.9762089252472
False,True,2,1,9,True,False,5.6074977,0.051182512,2.982334,0.07412471,43.88785219192505,171.78999209403992
False,True,2,1,9,False,True,5.567363,0.05084868,2.962882,0.073293485,43.638407945632935,168.15464305877686
False,True,2,1,9,False,False,5.587582,0.051038403,2.973937,0.07380846,43.39158916473389,164.01782703399658
