include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,15,2,24,False,True,0.010941136,0.06578675,0.0035524706,0.07547995,51.22622013092041,1050.2502720355988
True,True,15,3,24,False,True,0.009744011,0.061766975,0.0033354035,0.07707348,66.65798807144165,1331.2394609451294
False,True,15,2,24,False,True,0.008264517,0.039083205,0.0021104848,0.04446307,54.533183097839355,962.7876369953156
False,True,15,3,24,False,True,0.008577825,0.039779883,0.0021481053,0.04473973,75.35577011108398,1762.5955021381378
