include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,19,2,6,False,True,0.019383589,0.01569211,0.011729523,0.048629947,2.7545418739318848,9.65943717956543
True,True,19,3,6,False,True,0.019332131,0.015668334,0.011711751,0.048726507,2.597102165222168,10.202336072921753
True,True,21,2,6,False,True,0.01940761,0.015691513,0.0117290765,0.048845384,2.0558159351348877,8.91791582107544
True,True,21,3,6,False,True,0.01929485,0.015616683,0.011673143,0.048542365,2.649796962738037,10.327920913696289
True,True,23,2,6,False,True,0.019338705,0.015697943,0.011733883,0.049539104,2.1913301944732666,12.717303037643433
True,True,23,3,6,False,True,0.01929076,0.01571101,0.011743651,0.04914955,2.735361099243164,16.100858211517334
