include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,7,1,9,False,True,5.134704,0.047431502,2.7637677,0.06738843,44.3227641582489,203.97140407562256
True,True,7,1,9,False,False,5.145465,0.04756023,2.7712686,0.06764256,43.31469798088074,198.3993399143219
True,True,9,1,9,False,True,5.131882,0.047423888,2.7633243,0.06739511,44.490180015563965,213.21659898757935
True,True,9,1,9,False,False,5.1409163,0.04749448,2.7674375,0.067472614,44.824862003326416,237.03392791748047
True,True,11,1,9,False,True,5.126485,0.04735231,2.7591534,0.06727818,47.89027404785156,254.79588198661804
True,True,11,1,9,False,False,5.134012,0.047467545,2.765868,0.06750009,49.701980113983154,258.67238211631775
